Artifact,Command to Run,Abnormal to See,Normal to See,What Value It Gives About Discovery
Kernel version,"uname -a","Unusual kernel compiled outside distro","Standard vendor kernel","Attacker may be probing kernel for exploits"
OS info,"cat /etc/os-release","Modified or unusual release","Regular distro info","Knowledge of OS for targeted exploits"
CPU architecture,"lscpu","Unusual architecture not expected","Expected CPU type","Attacker gathers system type"
Memory info,"free -h","Attempting to locate low-memory VM or sandbox","Normal memory stats","Environmental reconnaissance"
Disk layout,"lsblk","Accessing unusual mount points or hidden partitions","Normal disk layout","Used to locate files of interest"
User list,"cat /etc/passwd","New or unexpected users","Known system and user accounts","Attacker mapping accounts"
Group list,"cat /etc/group","Unknown groups added","Known groups","Used to find elevated privileges"
Last logins,"lastlog","Suspicious users never logged in before","Known user login times","Checks for target accounts"
Open ports,"ss -tulnp","Unexpected listening services","Normal system services","Indicates lateral movement potential or network service mapping"
Network interfaces,"ip addr","Unexpected interfaces, VPNs, or bridges","Known NICs","Environment mapping"
Routing table,"ip route","Added routes to unusual networks","Standard routing table","Knowledge of network topology"
ARP table,"arp -n","Unknown internal hosts","Known devices","Network discovery"
Netstat connections,"netstat -antp","Active connections to unknown IPs","Expected connections","Detects scanning or lateral reconnaissance"
Installed packages,"dpkg -l or rpm -qa","Unusual or vulnerable software","Regular system packages","Identifies software to target"
Running services,"systemctl list-units --type=service","Suspicious services started by user","Expected services","Knowledge of available attack surface"
Listening ports and services,"ss -tulnp","Unexpected service binaries","Known services","Attack surface mapping"
Home directories,"ls -la /home","Unusual users","Known user directories","Identifies accounts and targets"
SUID / SGID files,"find / -perm -4000 -o -perm -2000 -type f 2>/dev/null","Custom binaries","Standard system binaries","Used to locate privilege escalation vectors"
Important config files,"ls -la /etc","Unexpected modifications or hidden files","Normal system configs","Attacker mapping system setup"
