Artifact,Command to Run,Abnormal to See,Normal to See,What Value It Gives About Defense Evasion
Syslog modification time,"stat /var/log/syslog","Very recent modification with no admin reason","Matches known log rotation","Indicates possible log tampering"
Authentication log modification,"stat /var/log/auth.log or /var/log/secure","Recent modification or deletion","Normal log rotation","May hide login attempts"
Log removal / deletion,"ls -la /var/log","Missing logs unexpectedly","Logs present","Evidence of cleaning attack traces"
Auditd status,"systemctl status auditd","Audit service stopped","Running normally","Disabling auditing to evade detection"
Bash history size,"echo $HISTSIZE","Zero or unusually small","Configured for regular usage","Prevents recording of executed commands"
History clearing,"history","History deleted","History preserved","Indicates attacker cleaned command traces"
History file modification,"stat ~/.bash_history","Recently touched after suspicious activity","Matches expected shell usage","Confirms manual or automated cleanup"
Deleted but running binaries,"ls -la /proc/*/exe 2>/dev/null | grep deleted","Processes running whose binary is deleted","None","Fileless malware or stealth execution"
Hidden directories,"ls -la /home/*","Directories starting with unusual characters or dotfiles","Standard user directories","Attacker may hide tools or scripts"
Suspicious mounts,"mount","Mounts to unusual tmpfs or /dev/shm paths","Normal system mounts","Evade detection by running tools in RAM"
Encoded scripts in temp,"find /tmp /dev/shm -type f -exec file {} \;","ASCII text scripts containing base64 or hex","Standard temporary files","Indicates encoded malware"
Obfuscated shell scripts,"grep -iE 'eval|base64|gzinflate' /tmp/*","Scripts containing eval, base64 decoding","Normal scripts without obfuscation","Malware hiding intent"
AppArmor / SELinux status,"sestatus or aa-status","Disabled unexpectedly","Enforced normally","Attacker disables protection"
Anti-virus / endpoint agent,"systemctl status <agent>","Stopped or disabled unexpectedly","Running normally","Hiding malicious activity"
Rootkit checker,"chkrootkit","Suspicious modifications detected","Clean system","Confirms tampering"
Cron jobs for evasion,"crontab -l and ls -la /etc/cron*","Tasks clearing logs or obfuscating activity","Known system tasks","Scheduled activity to remove traces"
